vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Compost Collective,No Tax,REF-2925,True,Mic’d the compost for microbial jazz.,Tractor repair service,62150,Invoice,0.0,2025-07-16 13:29:00,142.51,,4127.3,142.51,Cash,1000,wrench,🌱
Farm Co-op,No Tax,REF-4079,True,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,90602,Payment,987.18,2025-07-16 14:57:00,0.0,,3599.38,987.18,Taxes Payable,2200,bag,🐝
Tractor Depot,Use Tax,REF-7506,True,Beware of the Central Scrutinizer.,Payment for organic compost delivery,72520,Tax,0.0,2025-07-16 17:35:00,838.8,CHK-3247,1626.01,838.8,Accounts Payable,2000,book,🏡
Farm Co-op,No Tax,REF-3762,False,Someone painted the barn plaid again.,Equity contribution by Frank,81850,Sale,0.0,2025-07-16 16:19:00,618.52,,2655.19,618.52,Taxes Payable,2200,globe,🐄
Zappa Solar,Sales Tax,REF-9165,False,Someone painted the barn plaid again.,Tractor repair service,85887,Sale,0.0,2025-07-16 10:42:00,1047.57,CHK-2576,4965.37,1047.57,Fuel,5300,folder,🍅
Farm Co-op,Use Tax,REF-1730,False,Someone painted the barn plaid again.,Tractor repair service,50625,Expense,70.53,2025-07-16 17:31:00,0.0,CHK-9908,1481.53,70.53,Wages Payable,2100,globe,🌱
Compost Collective,Sales Tax,REF-3357,True,Billy the Mountain requested cash.,Tractor repair service,78945,Sale,358.38,2025-07-16 09:31:00,0.0,CHK-3159,1263.83,358.38,Accounts Payable,2000,bag,🌽
Johnny's Seeds,No Tax,REF-2741,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,39988,Tax,0.0,2025-07-16 14:24:00,216.7,,3312.03,216.7,Cash,1000,wrench,🧺
Johnny's Seeds,No Tax,REF-2342,True,Beware of the Central Scrutinizer.,Tractor repair service,27272,Expense,1161.09,2025-07-16 17:37:00,0.0,CHK-3094,1154.97,1161.09,Insurance,5900,creditcard,🐝
Johnny's Seeds,Sales Tax,REF-3370,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,65183,Sale,854.05,2025-07-16 15:48:00,0.0,CHK-8598,2009.95,854.05,Fertilizer & Compost,5200,chart.bar,🧾
Tractor Depot,Sales Tax,REF-9076,False,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,17437,Payment,0.0,2025-07-16 16:52:00,1078.64,CHK-5723,3263.31,1078.64,Professional Services,5800,person.crop.circle,🧾
Johnny's Seeds,No Tax,REF-8434,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,79437,Sale,0.0,2025-07-16 18:29:00,489.61,CHK-5327,1674.97,489.61,Depreciation,6000,calendar,🐝
Tractor Depot,Sales Tax,REF-4518,True,Billy the Mountain requested cash.,Tractor repair service,21776,Invoice,271.4,2025-07-16 16:05:00,0.0,,4819.85,271.4,Accounts Payable,2000,person.crop.circle,💼
Johnny's Seeds,Use Tax,REF-3309,True,Billy the Mountain requested cash.,Equity contribution by Frank,67129,Tax,43.21,2025-07-16 17:10:00,0.0,,3227.89,43.21,Depreciation,6000,gear,🛠
Johnny's Seeds,No Tax,REF-6210,True,Billy the Mountain requested cash.,Weekly payroll distribution,51514,Payment,0.0,2025-07-16 07:45:00,443.48,,4435.88,443.48,Utilities,5600,plusminus,🪣
Compost Collective,No Tax,REF-6472,True,Billy the Mountain requested cash.,Weekly payroll distribution,71669,Payment,306.36,2025-07-16 17:44:00,0.0,,4911.43,306.36,Utilities,5600,folder,🔧
Tractor Depot,No Tax,REF-8447,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,52391,Payroll,1101.85,2025-07-16 17:49:00,0.0,,3783.64,1101.85,Marketing & Promotion,5700,book,🚜
USDA,Sales Tax,REF-9407,True,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,89159,Expense,0.0,2025-07-16 16:55:00,480.22,,4165.22,480.22,Inventory,1200,book,🌱
USDA,Use Tax,REF-6677,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,88210,Payroll,890.04,2025-07-16 16:44:00,0.0,,3094.28,890.04,Seeds & Amendments,5100,bag,🧺
Tractor Depot,No Tax,REF-6077,False,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,59250,Expense,0.0,2025-07-16 12:07:00,548.86,CHK-4643,4760.46,548.86,Sales - Value-Added Goods,4100,plusminus,🔧
Compost Collective,No Tax,REF-1290,False,Billy the Mountain requested cash.,Payment for organic compost delivery,72149,Tax,0.0,2025-07-16 07:14:00,1121.12,CHK-1934,1572.71,1121.12,Cash,1000,gear,🔧
Compost Collective,Sales Tax,REF-4391,True,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,53966,Payroll,0.0,2025-07-16 10:45:00,571.96,,2657.34,571.96,Repairs & Maintenance,5400,cart,🛠
Muffin Utility Inc.,No Tax,REF-4616,False,Billy the Mountain requested cash.,Sale at Saturday farmer's market,20400,Expense,0.0,2025-07-16 07:24:00,308.89,,2335.93,308.89,Professional Services,5800,doc.plaintext,🔧
Muffin Utility Inc.,Use Tax,REF-9366,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,95888,Invoice,0.0,2025-07-16 16:35:00,599.13,CHK-6154,2105.4,599.13,Cost of Goods Sold,5000,dollarsign.circle,🐄
Zappa Solar,No Tax,REF-6878,False,Paid in kale chips and weird looks.,Payment for organic compost delivery,94355,Tax,886.44,2025-07-16 15:07:00,0.0,CHK-1190,2479.34,886.44,Professional Services,5800,gear,🌱
Muffin Utility Inc.,Sales Tax,REF-7827,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,92860,Sale,112.79,2025-07-16 15:45:00,0.0,CHK-5148,4598.17,112.79,Payroll Expenses,5500,briefcase,🐄
Compost Collective,Sales Tax,REF-2495,True,Beware of the Central Scrutinizer.,Equity contribution by Frank,55656,Sale,303.83,2025-07-16 16:54:00,0.0,,1681.2,303.83,Cash,1000,book,🌽
Tractor Depot,Use Tax,REF-3343,True,Beware of the Central Scrutinizer.,Tractor repair service,49118,Payment,674.31,2025-07-16 18:36:00,0.0,,3726.22,674.31,Accounts Receivable,1100,calendar,🐄
Tractor Depot,Use Tax,REF-6787,True,Paid in kale chips and weird looks.,Utility payment: irrigation pump,13828,Equity Contribution,0.0,2025-07-16 13:44:00,245.01,,1224.14,245.01,Fertilizer & Compost,5200,gear,🧺
Tractor Depot,No Tax,REF-8509,False,Beware of the Central Scrutinizer.,Payment for organic compost delivery,81345,Tax,0.0,2025-07-16 07:09:00,1004.1,CHK-7491,4729.61,1004.1,Cost of Goods Sold,5000,tray,🐔
Muffin Utility Inc.,Sales Tax,REF-4458,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,68029,Expense,132.37,2025-07-16 11:28:00,0.0,CHK-5399,1479.36,132.37,Cost of Goods Sold,5000,calendar,🐔
Johnny's Seeds,No Tax,REF-8634,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,73803,Expense,248.79,2025-07-16 14:40:00,0.0,,1090.37,248.79,Sales - Produce,4000,cart,🧺
USDA,No Tax,REF-2695,True,Someone painted the barn plaid again.,Equity contribution by Frank,39469,Invoice,945.68,2025-07-16 18:10:00,0.0,,4698.1,945.68,Accounts Payable,2000,gear,🚜
Muffin Utility Inc.,Sales Tax,REF-3259,False,Billy the Mountain requested cash.,Weekly payroll distribution,40995,Sale,0.0,2025-07-16 10:30:00,1054.54,,3974.42,1054.54,Depreciation,6000,folder,📅
Tractor Depot,Sales Tax,REF-4682,False,Beware of the Central Scrutinizer.,Payment for organic compost delivery,86308,Equity Contribution,725.02,2025-07-16 15:24:00,0.0,CHK-9415,2552.18,725.02,Marketing & Promotion,5700,tractor,🛠
USDA,Sales Tax,REF-8620,True,Billy the Mountain requested cash.,Weekly payroll distribution,13661,Equity Contribution,0.0,2025-07-16 12:22:00,1098.84,,1668.84,1098.84,Owner's Equity,3000,bag,💸
Compost Collective,No Tax,REF-8987,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,73603,Payroll,235.63,2025-07-16 09:25:00,0.0,,1080.27,235.63,Sales - Produce,4000,bag,🌱
Tractor Depot,Sales Tax,REF-9907,False,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,85960,Invoice,799.61,2025-07-16 08:47:00,0.0,CHK-7114,4360.08,799.61,Sales - Value-Added Goods,4100,book,📊
USDA,Use Tax,REF-7417,True,Eggplant royalty dispute resolved.,Weekly payroll distribution,99537,Expense,0.0,2025-07-16 09:20:00,855.59,,3254.13,855.59,Marketing & Promotion,5700,chart.bar,🧑‍🌾
Compost Collective,Use Tax,REF-3623,False,Paid in kale chips and weird looks.,Payment for organic compost delivery,68700,Payroll,616.44,2025-07-16 13:16:00,0.0,CHK-5018,2724.94,616.44,Prepaid Expenses,1300,bag,📦
Johnny's Seeds,Sales Tax,REF-8037,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,17646,Payroll,0.0,2025-07-16 08:40:00,975.77,CHK-2497,3895.06,975.77,Accounts Receivable,1100,creditcard,💼
Compost Collective,No Tax,REF-5592,False,"This ain’t the garden of Eden, man.",Tractor repair service,45811,Expense,927.39,2025-07-16 11:49:00,0.0,,3203.78,927.39,Cash,1000,calendar,💸
Muffin Utility Inc.,Use Tax,REF-3801,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,63962,Invoice,0.0,2025-07-16 09:05:00,135.79,,3286.66,135.79,Wages Payable,2100,calendar,📦
Compost Collective,No Tax,REF-9066,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,77994,Tax,0.0,2025-07-17 18:22:00,871.4,CHK-6248,3166.61,871.4,Utilities,5600,tractor,🌽
Compost Collective,No Tax,REF-1032,False,Mic’d the compost for microbial jazz.,Tractor repair service,19336,Sale,0.0,2025-07-17 14:17:00,440.62,,4215.41,440.62,Payroll Expenses,5500,person.crop.circle,🛠
Muffin Utility Inc.,Sales Tax,REF-2195,False,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,89438,Equity Contribution,331.94,2025-07-17 08:07:00,0.0,,4265.07,331.94,Marketing & Promotion,5700,doc.plaintext,🧾
Compost Collective,Sales Tax,REF-5679,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,78725,Payment,977.7,2025-07-17 15:33:00,0.0,,1024.65,977.7,Fertilizer & Compost,5200,tractor,🧺
Farm Co-op,Sales Tax,REF-6668,True,Someone painted the barn plaid again.,Tractor repair service,76701,Sale,734.06,2025-07-17 11:11:00,0.0,CHK-8694,1349.38,734.06,Accounts Payable,2000,hammer,🚜
Johnny's Seeds,Use Tax,REF-3968,False,Billy the Mountain requested cash.,Equity contribution by Frank,73536,Expense,39.92,2025-07-17 14:23:00,0.0,,4287.38,39.92,Taxes Payable,2200,cart,💸
Compost Collective,No Tax,REF-7854,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,72255,Sale,158.77,2025-07-17 15:38:00,0.0,CHK-4420,3454.92,158.77,Depreciation,6000,plusminus,🐝
Muffin Utility Inc.,Use Tax,REF-6713,True,"This ain’t the garden of Eden, man.",Sale at Saturday farmer's market,77283,Payroll,0.0,2025-07-17 16:53:00,580.37,CHK-2444,3536.0,580.37,Fuel,5300,doc.plaintext,💸
Zappa Solar,Use Tax,REF-8799,False,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,10357,Invoice,807.13,2025-07-17 17:45:00,0.0,,4614.03,807.13,Accounts Receivable,1100,externaldrive,🧾
Tractor Depot,Use Tax,REF-6064,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,45444,Equity Contribution,98.66,2025-07-17 11:13:00,0.0,CHK-9146,3516.27,98.66,Sales - Produce,4000,person.crop.circle,💼
Farm Co-op,Use Tax,REF-3736,False,Beware of the Central Scrutinizer.,Weekly payroll distribution,10850,Sale,0.0,2025-07-17 15:11:00,443.27,,1105.22,443.27,Cash,1000,creditcard,💼
Compost Collective,Use Tax,REF-2011,True,Paid in kale chips and weird looks.,Payment for organic compost delivery,50301,Payroll,145.86,2025-07-17 10:51:00,0.0,,3456.3,145.86,Accounts Receivable,1100,gear,🐄
Tractor Depot,No Tax,REF-3368,True,Beware of the Central Scrutinizer.,Equity contribution by Frank,82926,Payroll,380.2,2025-07-17 13:41:00,0.0,,3860.47,380.2,Taxes Payable,2200,tractor,🌽
Muffin Utility Inc.,Sales Tax,REF-8475,True,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,91240,Expense,0.0,2025-07-17 16:40:00,690.39,CHK-6915,4270.29,690.39,Depreciation,6000,tractor,🐔
Tractor Depot,No Tax,REF-3447,False,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,56134,Payroll,0.0,2025-07-17 09:01:00,627.34,CHK-9475,2684.6,627.34,Sales - Value-Added Goods,4100,doc.plaintext,🪣
Muffin Utility Inc.,Use Tax,REF-2707,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,29459,Tax,1118.38,2025-07-17 16:05:00,0.0,,2708.81,1118.38,Cost of Goods Sold,5000,externaldrive,🏡
Muffin Utility Inc.,No Tax,REF-3670,False,Billy the Mountain requested cash.,Payment for organic compost delivery,18512,Payment,0.0,2025-07-17 15:32:00,952.68,CHK-8344,2602.03,952.68,Marketing & Promotion,5700,chart.bar,🧾
Compost Collective,Sales Tax,REF-4204,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,70518,Payment,0.0,2025-07-17 07:35:00,387.16,,2485.12,387.16,Payroll Expenses,5500,tractor,🐔
Zappa Solar,No Tax,REF-4190,False,"This ain’t the garden of Eden, man.",Tractor repair service,63512,Sale,0.0,2025-07-17 13:45:00,465.67,,4183.33,465.67,Fuel,5300,globe,🪣
Compost Collective,Use Tax,REF-5145,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,94849,Equity Contribution,0.0,2025-07-17 12:13:00,705.89,,1506.08,705.89,Repairs & Maintenance,5400,book,🐝
Tractor Depot,Sales Tax,REF-9302,False,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,45646,Sale,0.0,2025-07-17 14:15:00,950.78,CHK-7739,3723.28,950.78,Cash,1000,briefcase,🧺
USDA,Sales Tax,REF-6569,True,Paid in kale chips and weird looks.,Equity contribution by Frank,93944,Sale,785.48,2025-07-17 16:36:00,0.0,,4495.19,785.48,Wages Payable,2100,globe,🥕
USDA,Use Tax,REF-7629,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,45579,Expense,1139.08,2025-07-17 07:07:00,0.0,CHK-5426,2453.22,1139.08,Fertilizer & Compost,5200,tractor,🌱
Tractor Depot,Use Tax,REF-5957,False,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,66407,Equity Contribution,1161.84,2025-07-17 08:57:00,0.0,,4628.03,1161.84,Seeds & Amendments,5100,hammer,🪣
Johnny's Seeds,Sales Tax,REF-1799,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,86140,Expense,0.0,2025-07-17 12:34:00,347.84,CHK-3991,4700.9,347.84,Payroll Expenses,5500,wrench,🌽
Tractor Depot,Use Tax,REF-1813,True,Eggplant royalty dispute resolved.,Payment for organic compost delivery,39098,Expense,1131.79,2025-07-17 08:38:00,0.0,CHK-7340,4751.31,1131.79,Fuel,5300,leaf,🛠
Tractor Depot,No Tax,REF-9819,False,Mic’d the compost for microbial jazz.,Weekly payroll distribution,83097,Payment,491.0,2025-07-17 07:32:00,0.0,CHK-3237,3340.96,491.0,Prepaid Expenses,1300,plusminus,🍅
Johnny's Seeds,No Tax,REF-4714,False,Mic’d the compost for microbial jazz.,Tractor repair service,16283,Payroll,0.0,2025-07-17 17:31:00,562.02,CHK-9886,2348.73,562.02,Seeds & Amendments,5100,calendar,🐄
USDA,Use Tax,REF-6099,False,"This ain’t the garden of Eden, man.",Equity contribution by Frank,82884,Expense,0.0,2025-07-17 10:37:00,1099.09,,2402.56,1099.09,Cost of Goods Sold,5000,tractor,🌽
Compost Collective,Use Tax,REF-8971,False,Someone painted the barn plaid again.,Payment for organic compost delivery,63133,Sale,741.22,2025-07-17 15:48:00,0.0,CHK-1192,2820.26,741.22,Depreciation,6000,book,🧺
Zappa Solar,Use Tax,REF-8148,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,93549,Expense,993.71,2025-07-17 17:23:00,0.0,,3840.88,993.71,Professional Services,5800,leaf,📊
Farm Co-op,Use Tax,REF-2898,True,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,25567,Equity Contribution,734.08,2025-07-17 10:07:00,0.0,CHK-1366,1968.77,734.08,Payroll Expenses,5500,tray,🚜
Farm Co-op,Sales Tax,REF-5702,False,Someone painted the barn plaid again.,Tractor repair service,51288,Tax,0.0,2025-07-17 10:10:00,47.82,,2874.85,47.82,Fertilizer & Compost,5200,creditcard,🛠
USDA,Use Tax,REF-6417,False,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,75980,Invoice,0.0,2025-07-17 13:14:00,247.02,,3376.94,247.02,Utilities,5600,dollarsign.circle,🏡
USDA,Use Tax,REF-4840,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,62986,Sale,0.0,2025-07-17 10:39:00,275.9,CHK-1534,2155.74,275.9,Utilities,5600,cart,🧾
Farm Co-op,Use Tax,REF-3540,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,23718,Payment,1083.6,2025-07-17 14:30:00,0.0,CHK-5565,4300.04,1083.6,Marketing & Promotion,5700,folder,📦
USDA,Use Tax,REF-7946,False,Someone painted the barn plaid again.,Payment for organic compost delivery,82454,Payroll,1027.05,2025-07-17 09:30:00,0.0,,1893.79,1027.05,Inventory,1200,book,🌽
Farm Co-op,Sales Tax,REF-6636,False,Someone painted the barn plaid again.,Weekly payroll distribution,50108,Payment,0.0,2025-07-17 09:31:00,1122.51,CHK-5124,2297.1,1122.51,Fuel,5300,globe,🐄
Tractor Depot,Sales Tax,REF-2389,False,Eggplant royalty dispute resolved.,Tractor repair service,37817,Sale,0.0,2025-07-17 14:52:00,985.34,CHK-4271,1872.2,985.34,Depreciation,6000,leaf,🌽
Zappa Solar,Sales Tax,REF-2172,True,Paid in kale chips and weird looks.,Weekly payroll distribution,27052,Payroll,303.54,2025-07-17 07:11:00,0.0,CHK-4589,3287.65,303.54,Repairs & Maintenance,5400,globe,🚜
Johnny's Seeds,Sales Tax,REF-1200,False,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,72899,Invoice,767.99,2025-07-17 07:48:00,0.0,,2899.22,767.99,Depreciation,6000,hammer,🚜
Farm Co-op,Use Tax,REF-8042,False,Someone painted the barn plaid again.,Equity contribution by Frank,48446,Tax,0.0,2025-07-17 15:30:00,1107.45,,2324.82,1107.45,Professional Services,5800,globe,📅
Johnny's Seeds,Sales Tax,REF-7131,False,Someone painted the barn plaid again.,Weekly payroll distribution,21858,Payroll,0.0,2025-07-17 18:24:00,579.16,CHK-1222,4754.19,579.16,Owner's Equity,3000,calendar,💼
Johnny's Seeds,No Tax,REF-1996,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,16772,Sale,89.73,2025-07-17 07:01:00,0.0,CHK-8561,2702.08,89.73,Accounts Payable,2000,bag,📅
Farm Co-op,No Tax,REF-4366,True,Mic’d the compost for microbial jazz.,Tractor repair service,89340,Sale,0.0,2025-07-18 10:48:00,206.92,CHK-4278,3116.55,206.92,Owner's Equity,3000,chart.bar,💸
Farm Co-op,Use Tax,REF-1083,True,Paid in kale chips and weird looks.,Utility payment: irrigation pump,79928,Payment,0.0,2025-07-18 16:28:00,318.14,CHK-1018,4156.08,318.14,Fertilizer & Compost,5200,tray,🔧
Muffin Utility Inc.,Sales Tax,REF-2618,True,Billy the Mountain requested cash.,Equity contribution by Frank,10837,Equity Contribution,69.57,2025-07-18 10:11:00,0.0,CHK-2561,2493.96,69.57,Seeds & Amendments,5100,cart,📅
Farm Co-op,No Tax,REF-2947,True,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,80770,Expense,0.0,2025-07-18 17:06:00,1018.35,CHK-8686,4704.14,1018.35,Marketing & Promotion,5700,cart,🐔
Farm Co-op,Use Tax,REF-3981,False,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,50366,Tax,709.56,2025-07-18 12:38:00,0.0,CHK-9805,4067.52,709.56,Sales - Produce,4000,tractor,🐄
USDA,No Tax,REF-8252,True,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,98038,Sale,1065.69,2025-07-18 08:27:00,0.0,,2314.99,1065.69,Wages Payable,2100,book,🛠
Zappa Solar,Use Tax,REF-1149,False,Billy the Mountain requested cash.,Weekly payroll distribution,43220,Sale,945.28,2025-07-18 07:42:00,0.0,,1330.75,945.28,Marketing & Promotion,5700,leaf,🏡
Johnny's Seeds,Sales Tax,REF-1384,False,"This ain’t the garden of Eden, man.",Weekly payroll distribution,27221,Invoice,680.14,2025-07-18 12:14:00,0.0,CHK-9275,3222.52,680.14,Accounts Receivable,1100,calendar,🐔
Compost Collective,No Tax,REF-8166,False,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,45352,Sale,0.0,2025-07-18 11:31:00,96.62,,3665.51,96.62,Repairs & Maintenance,5400,cart,🍅
Tractor Depot,No Tax,REF-9197,True,Billy the Mountain requested cash.,Weekly payroll distribution,27290,Sale,1126.18,2025-07-18 11:26:00,0.0,,3872.37,1126.18,Prepaid Expenses,1300,leaf,💸
Zappa Solar,No Tax,REF-3181,False,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,46894,Payroll,0.0,2025-07-18 17:41:00,467.46,CHK-4211,3794.42,467.46,Seeds & Amendments,5100,gear,🧾
Zappa Solar,No Tax,REF-5553,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,53335,Payroll,0.0,2025-07-18 18:29:00,1177.13,CHK-9010,3877.23,1177.13,Seeds & Amendments,5100,person.crop.circle,🍅
Tractor Depot,No Tax,REF-2015,True,"This ain’t the garden of Eden, man.",Sale at Saturday farmer's market,97069,Payment,82.36,2025-07-18 08:04:00,0.0,CHK-9264,2311.04,82.36,Payroll Expenses,5500,folder,🧾
Johnny's Seeds,No Tax,REF-8629,True,Eggplant royalty dispute resolved.,Payment for organic compost delivery,43093,Sale,0.0,2025-07-18 08:16:00,285.91,CHK-8114,3304.49,285.91,Marketing & Promotion,5700,creditcard,🧾
Farm Co-op,No Tax,REF-9997,False,Someone painted the barn plaid again.,Payment for organic compost delivery,69371,Sale,0.0,2025-07-18 18:52:00,222.65,CHK-6585,4119.45,222.65,Wages Payable,2100,wrench,🧾
Compost Collective,Sales Tax,REF-2332,False,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,25262,Payroll,0.0,2025-07-18 13:33:00,163.01,CHK-2231,3553.47,163.01,Professional Services,5800,calendar,🥕
USDA,No Tax,REF-7442,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,30260,Equity Contribution,183.67,2025-07-18 13:13:00,0.0,CHK-6361,3422.63,183.67,Professional Services,5800,globe,💼
Johnny's Seeds,Use Tax,REF-2675,True,Beware of the Central Scrutinizer.,Payment for organic compost delivery,25923,Payroll,0.0,2025-07-18 08:51:00,1032.54,,2505.37,1032.54,Cash,1000,tractor,💸
Zappa Solar,Use Tax,REF-1169,False,Beware of the Central Scrutinizer.,Tractor repair service,30461,Tax,217.1,2025-07-18 11:22:00,0.0,,4803.31,217.1,Cost of Goods Sold,5000,wrench,🍅
Muffin Utility Inc.,Sales Tax,REF-3651,True,Beware of the Central Scrutinizer.,Tractor repair service,22866,Equity Contribution,0.0,2025-07-18 07:11:00,611.31,CHK-3274,3805.21,611.31,Utilities,5600,leaf,🧺
Tractor Depot,No Tax,REF-2504,False,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,39875,Tax,0.0,2025-07-18 15:36:00,389.69,,2523.46,389.69,Prepaid Expenses,1300,externaldrive,📅
USDA,Use Tax,REF-9525,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,95811,Payroll,0.0,2025-07-18 17:56:00,98.62,,1861.12,98.62,Sales - Produce,4000,globe,🌽
Zappa Solar,Use Tax,REF-4405,True,Eggplant royalty dispute resolved.,Weekly payroll distribution,29650,Tax,0.0,2025-07-18 16:54:00,204.64,CHK-6414,3617.07,204.64,Accounts Receivable,1100,externaldrive,🛠
Tractor Depot,Sales Tax,REF-7763,True,Beware of the Central Scrutinizer.,Payment for organic compost delivery,58548,Payment,618.53,2025-07-18 08:29:00,0.0,CHK-1143,4081.56,618.53,Sales - Value-Added Goods,4100,dollarsign.circle,🧑‍🌾
Compost Collective,Use Tax,REF-2635,True,Beware of the Central Scrutinizer.,Tractor repair service,46540,Expense,348.74,2025-07-18 08:47:00,0.0,CHK-7671,4104.23,348.74,Sales - Value-Added Goods,4100,tray,📅
Compost Collective,No Tax,REF-3723,False,"This ain’t the garden of Eden, man.",Sale at Saturday farmer's market,82858,Tax,348.7,2025-07-18 10:26:00,0.0,,3839.33,348.7,Cost of Goods Sold,5000,wrench,🧺
Tractor Depot,Use Tax,REF-9110,False,Paid in kale chips and weird looks.,Weekly payroll distribution,65167,Expense,299.73,2025-07-18 09:07:00,0.0,CHK-7384,1599.47,299.73,Insurance,5900,briefcase,🛠
USDA,No Tax,REF-7944,True,Mic’d the compost for microbial jazz.,Tractor repair service,34068,Tax,0.0,2025-07-18 11:09:00,1190.26,CHK-8068,4608.8,1190.26,Seeds & Amendments,5100,book,🌽
Muffin Utility Inc.,Use Tax,REF-4827,True,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,18391,Expense,250.38,2025-07-18 14:43:00,0.0,,1991.93,250.38,Professional Services,5800,cart,🧾
Zappa Solar,Sales Tax,REF-2333,True,Paid in kale chips and weird looks.,Equity contribution by Frank,96809,Equity Contribution,0.0,2025-07-18 10:21:00,774.81,,3589.51,774.81,Accounts Receivable,1100,doc.plaintext,🧺
Farm Co-op,No Tax,REF-8457,True,Billy the Mountain requested cash.,Tractor repair service,11392,Expense,939.91,2025-07-18 09:17:00,0.0,,4412.2,939.91,Wages Payable,2100,bag,🪣
Johnny's Seeds,No Tax,REF-3493,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,56680,Sale,0.0,2025-07-18 08:01:00,139.95,,2621.16,139.95,Accounts Receivable,1100,folder,🐄
Muffin Utility Inc.,Sales Tax,REF-7613,False,Eggplant royalty dispute resolved.,Payment for organic compost delivery,60789,Expense,0.0,2025-07-18 18:52:00,572.93,,1772.6,572.93,Accounts Payable,2000,dollarsign.circle,🚜
Compost Collective,Use Tax,REF-1358,False,Beware of the Central Scrutinizer.,Tractor repair service,75840,Invoice,55.11,2025-07-18 15:28:00,0.0,CHK-6031,2184.92,55.11,Depreciation,6000,hammer,🚜
Muffin Utility Inc.,Use Tax,REF-3025,True,Paid in kale chips and weird looks.,Payment for organic compost delivery,19725,Invoice,457.14,2025-07-18 09:06:00,0.0,,3181.98,457.14,Prepaid Expenses,1300,calendar,🛠
Farm Co-op,No Tax,REF-7612,False,Eggplant royalty dispute resolved.,Equity contribution by Frank,50862,Sale,180.01,2025-07-18 10:06:00,0.0,,1395.23,180.01,Taxes Payable,2200,cart,🍅
Compost Collective,Use Tax,REF-9470,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,52284,Payment,410.36,2025-07-18 07:55:00,0.0,CHK-3948,2889.92,410.36,Cost of Goods Sold,5000,creditcard,🧑‍🌾
Zappa Solar,Sales Tax,REF-6383,False,Billy the Mountain requested cash.,Payment for organic compost delivery,54769,Payment,0.0,2025-07-18 15:48:00,1057.45,,4783.81,1057.45,Inventory,1200,book,💸
